CreatedAt,CreatedAt@type,HashTags,HashTags@type,IsActive,IsActive@type,PartitionKey,PublicationSourceName,PublicationSourceName@type,PublicationSourceOwner,PublicationSourceOwner@type,PublicationSourceUrl,PublicationSourceUrl@type,RowKey,Timestamp,RepositoryName,RepositoryName@type,RepositoryOwner,RepositoryOwner@type
2019-03-17T17:05:00.000Z,Edm.DateTime,#AzureFunctions #Serverless,Edm.String,true,Edm.Boolean,Publications,Azure Service Updates,Edm.String,Azure,Edm.String,https://azurecomcdn.azureedge.net/en-us/updates/feed/?product=functions,Edm.String,Azure|Azure Service Updates,2019-03-20T21:55:31.405Z,,,,
2019-12-01T16:44:00.000Z,Edm.DateTime,#AzureFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-appinsights-extension,2019-12-01T15:45:18.508Z,azure-functions-appinsights-extension,Edm.String,Azure,Edm.String
2019-02-27T17:40:00.000Z,Edm.DateTime,#AzureFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-core-tools,2019-09-18T11:37:48.109Z,azure-functions-core-tools,Edm.String,Azure,Edm.String
2019-04-19T14:55:00.000Z,Edm.DateTime,#AzureFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-datalake-extension,2019-09-18T11:36:39.237Z,azure-functions-datalake-extension,Edm.String,Azure,Edm.String
2019-03-04T17:07:00.000Z,Edm.DateTime,#AzureFunctions #Serverless #Docker,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-docker,2019-09-18T11:36:46.786Z,azure-functions-docker,Edm.String,Azure,Edm.String
2019-12-01T16:14:00.000Z,Edm.DateTime,#AzureFunctions #dotnet,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-dotnet-extensions,2019-12-01T15:14:49.491Z,azure-functions-dotnet-extensions,Edm.String,Azure,Edm.String
2019-02-27T17:44:00.000Z,Edm.DateTime,#AzureFunctions #DurableFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-durable-extension,2019-09-18T11:36:52.329Z,azure-functions-durable-extension,Edm.String,Azure,Edm.String
2019-03-08T22:33:00.000Z,Edm.DateTime,#AzureFunctions #DurableFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-durable-js,2019-09-18T11:36:58.688Z,azure-functions-durable-js,Edm.String,Azure,Edm.String
2019-02-28T15:45:00.000Z,Edm.DateTime,#AzureFunctions #Serverless,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-eventgrid-extension,2019-09-18T11:37:04.592Z,azure-functions-eventgrid-extension,Edm.String,Azure,Edm.String
2019-12-01T16:36:00.000Z,Edm.DateTime,#AzureFunctions #EventHubs,Edm.String,true,Edm.Boolean,Repositories,,,,,,,Azure|azure-functions-eventhubs-extension,2019-12-01T15:36:40.137Z,azure-functions-eventhubs-extension,Edm.String,Azure,Edm.String
